pais_nome;cases;pib_total_usd;pib_per_capita_usd;taxa_desemprego;expectativa_vida_anos;gasto_saude_pct_pib;taxa_alfabetizacao_pct;taxa_escolarizacao_pct
Cote d'Ivoire;-;78875489245.0538;2530.84659301723;2.27;61.944;3.6424129;50.0006408691406;101.650497436523
Croatia;1269326.0;84393795502.4421;21865.4562838641;6.086;78.4731707317073;7.21545315;99.4499969482422;100.527976989746
Cuba;1112643.0;107351800000.0;9605.26125067263;1.719;78.085;11.78683186;99.6731109619141;98.4062423706055
Curacao;-;3281419347.37053;22192.4453028535;-;76.8;-;-;109.16813659668
Cyprus;650685.0;33886930712.3394;36551.41796875;6.098;81.648;8.87060547;99.3600006103516;97.0016403198242
Czechia;4632136.0;343207874553.734;31591.1770732969;2.579;79.8780487804878;8.53962803;-;100.97534942627
Denmark;3453037.0;407091920305.404;68453.8769281145;5.094;81.8536585365854;9.41784573;-;100.244453430176
Djibouti;15690.0;4098530513.55777;3554.83918868372;26.154;65.987;2.49675012;-;-
Dominica;15794.0;653992592.592593;9832.99643050057;-;71.132;6.31969738;-;89.8830871582031
Dominican Republic;660790.0;121444279313.931;10717.6276712204;5.555;73.72;4.57254791;95.5;94.7164535522461
Ecuador;1068594.0;118844826000.0;6609.80408154957;3.51;77.392;7.53457022;94.0;97.3006973266602
Egypt, Arab Rep.;-;396002496996.96;3457.45691570455;7.334;71.633;4.70438385;74.5;90.3061828613281
El Salvador;201877.0;34015620000.0;5391.06926181338;2.992;72.099;9.84079742;90.0;91.0513610839844
Equatorial Guinea;17326.0;12337550583.754;6677.793435386;8.367;63.707;2.91350007;94.3705368041992;51.1990142354467
Eritrea;10189.0;2065001626.01626;688.68165957684;5.586;68.624;3.87447667;76.5705184936523;82.9708480834961
Estonia;616203.0;41291245222.1948;30133.304450454;6.378;78.490243902439;6.98701143;99.870002746582;99.2638168334961
Eswatini;-;4442875788.08505;3610.60879677551;35.086;64.123;7.2226615;90.7470169067383;113.53881072998
Ethiopia;500116.0;163697927593.982;1272.01628209211;3.402;67.315;2.85274577;51.7711791992188;84.4721792618562
Faroe Islands;-;3907323961.33964;71717.7042204698;-;83.1439024390244;-;-;-
Fiji;68898.0;5442046565.04719;5888.73668639357;4.322;67.316;3.57928777;-;107.648210290828
Finland;1463644.0;295532341254.907;52925.6897638424;7.151;81.6853658536585;9.6589222;-;98.6190185546875
France;40319856.0;3051831611384.76;44690.9345395117;7.335;82.9292682926829;11.8819046;-;102.720581054688
French Polynesia;-;5814661208.90544;20738.6499971661;11.749;84.07;-;-;-
Gabon;48981.0;19388402541.6698;7802.83659565049;20.278;68.337;2.85591531;85.6900024414062;99.9486457966936
Gambia, The;-;2396111021.64149;888.157407724123;6.479;65.86;3.41435836;58.6699981689453;93.7452503542387
Georgia;1827537.0;30777833585.4441;8283.66960242964;11.537;74.496;7.25569582;100.0;103.337898254395
Germany;38249060.0;4525703903627.53;54343.2265084958;3.068;80.5414634146342;11.79903221;-;100.218132019043
Ghana;171229.0;76370396722.154;2260.28741289427;3.063;65.498;3.6993649;80.379997253418;96.5331573486328
Gibraltar;-;-;-;-;83.553;-;-;123.372650146484
Greece;5548487.0;243498333237.802;23400.7278817691;11.066;81.5365853658537;8.49983692;94.0;101.192031860352
Greenland;-;3235809504.29871;57116.295770722;-;71.549756097561;-;-;-
Grenada;19697.0;1316733333.33333;11246.3451228921;-;75.205;4.94846392;-;83.4003811136989
Guam;-;6910000000.0;41833.1517132825;5.363;77.209;-;99.5599975585938;-
Guatemala;1238247.0;104450210572.012;5762.82174615918;2.344;72.602;7.44098806;83.0311737060547;103.04638671875
Guinea;38267.0;22199409741.2578;1541.04050914957;5.244;60.74;3.95847702;45.3300018310547;97.9625584241655
Guinea-Bissau;8960.0;2048348108.35852;951.242748289294;2.65;64.085;8.11358356;53.9000015258789;113.270462036133
Guyana;73090.0;17159509565.4676;20765.3503593109;12.025;70.18;3.00636959;90.0299987792969;98.9540328979492
Haiti;34237.0;19850829757.5418;1705.77905452248;14.556;64.936;3.20848918;68.0098571777344;-
Honduras;472270.0;34400509852.0436;3231.65724461936;6.07;72.884;8.28209972;89.0;86.5522918701172
Hong Kong SAR, China;-;380812234827.832;50531.7385421945;2.949;85.2473170731707;-;-;101.081039428711
Hungary;2196804.0;212388906458.724;22141.8669799276;4.107;76.7707317073171;6.3573041;99.0999984741211;103.47647857666
Iceland;209411.0;31325116556.3807;79636.9548578508;3.518;82.6073170731707;8.99166012;-;98.5116424560547
India;44693901.0;3567551674623.01;2480.79208721621;4.172;72.003;3.3058846;77.0;112.03123091725
Indonesia;6738225.0;1371171152331.16;4876.31432703188;3.308;71.146;2.69394851;96.0;100.228106588191
Iran, Islamic Rep.;-;404625655204.619;4465.63766994952;9.041;77.654;5.34889174;88.9599990844727;104.484008789062
Iraq;2465545.0;250842782139.464;5565.12644647176;15.447;72.324;4.29332495;86.0;103.738700866699
Ireland;1712940.0;551394889339.778;103887.800388081;4.288;82.8609756097561;6.11978531;-;99.6199417114258
Isle of Man;-;7931193222.06405;94299.969348965;-;80.999;-;-;-
Israel;4805054.0;513611100815.691;52642.4267486308;3.596;83.1951219512195;7.34161806;-;96.3125686645508
